# Source: http://celex.mpi.nl/ with unknown license

#-----------------------------------------------------------------------
# test that we can override the stemming algorithm with our own mappings
# these must be tab-separated
# monkeys	monkey
# otters	otter
# some crazy ones that a stemmer would never do
# dogs	cat
a-al-tolletjes	a-al-tol
verstandelijk	verstandelijk
verstandelijke	verstandelijk
verstandelijker	verstandelijk
verstandelijkere	verstandelijk
verstandelijkheid	verstandelijkheid
verstandelijkst	verstandelijk
verstandelijkste	verstandelijk
verstandeloos	verstandelooz
verstandeloost	verstandelooz
verstandelooste	verstandelooz
verstandeloze	verstandelooz
verstandelozer	verstandelooz
verstandelozere	verstandelooz
verstandhouding	verstandhouding
verstandig	verstandig
verstandige	verstandig
verstandiger	verstandig
verstandigere	verstandig
verstandigheid	verstandigheid
verstandiglijk	verstandiglijk
verstandigst	verstandig
verstandigste	verstandig
verstandshuwelijk	verstandshuwelijk
verstandshuwelijken	verstandshuwelijk
verstandskies	verstandskiez
verstandsmens	verstandsmens
verstandsontwikkeling	verstandsontwikkeling
verstandsverbijstering	verstandsverbijstering
verstandsvraag	verstandsvraag
verstandsvragen	verstandsvraag
verstane	versta
verstappen	verstap
verstappend	verstap
verstappende	verstap
verstapt	verstap
verstapte	verstap
verstapten	verstap
verstard	verstar
verstarde	verstar
verstarden	verstar
verstarren	verstar
verstarrend	verstar
verstarrende	verstar
verstarring	verstarring
verstart	verstar
verste	ver
verstedelijk	verstedelijk
verstedelijken	verstedelijk
verstedelijking	verstedelijking
verstedelijkt	verstedelijk
verstedelijkte	verstedelijk
verstedelijkten	verstedelijk
versteeds	versteeds
versteedsing	versteedsing
versteedst	versteeds
versteedste	versteeds
versteedsten	versteeds
versteek	versteek
versteekt	versteek
versteen	versteen
versteende	versteen
versteenden	versteen
versteendheid	versteendheid
versteent	versteen
verstekeling	verstekeling
verstekelinge	verstekelinge
verstekelingen	verstekeling
versteken	versteek
verstekend	versteek
verstekende	versteek
verstekhaak	verstekhaak
verstekhaken	verstekhaak
verstekprocessen	verstekproces
verstekzaag	verstekzaag
verstekzagen	verstekzaag
verstelbaar	verstelbaar
verstelbare	verstelbaar
versteld	verstel
verstelde	verstel
verstelden	verstel
versteldheid	versteldheid
verstellen	verstel
verstellend	verstel
verstellende	verstel
verstelling	verstelling
verstellingen	verstelling
verstelt	verstel
verstempeld	verstempel
verstempelde	verstempel
verstempelden	verstempel
verstempelt	verstempel
verstenen	versteen
verstenend	versteen
verstenende	versteen
verstening	verstening
versteningen	verstening
versterf	versterv
versterft	versterv
versterkender	versterkend
versterkendere	versterkend
versterkendst	versterkend
versterkendste	versterkend
versterking	versterking
versterkingen	versterking
versterkt	versterk
versterkte	versterk
versterkten	versterk
versterving	versterving
verstervingen	versterving
verstervinkje	versterving
verstervinkjes	versterving
verstevig	verstevig
verstevigd	verstevig
verstevigde	verstevig
verstevigden	verstevig
verstevigen	verstevig
verstevigend	verstevig
verstevigende	verstevig
versteviging	versteviging
verstevigt	verstevig
verstierd	verstier
verstierde	verstier
verstierden	verstier
verstierf	versterv
verstiert	verstier
verstierven	versterv
verstiet	verstoot
verstieten	verstoot
verstijf	verstijv
verstijfde	verstijv
verstijfden	verstijv
verstijft	verstijv
verstijving	verstijving
verstijvingen	verstijving
verstikking	verstikking
verstikkingen	verstikking
verstikkingsdood	verstikkingsdood
verstikkingsgevaar	verstikkingsgevaar
verstikt	verstik
verstikte	verstik
verstikten	verstik
verstild	verstil
verstilde	verstil
verstilden	verstil
verstillen	verstil
verstillend	verstil
verstillende	verstil
verstilt	verstil
verstoeld	verstoel
verstoelde	verstoel
verstoelden	verstoel
verstoeling	verstoeling
verstoelingen	verstoeling
verstoelt	verstoel
verstoffelijk	verstoffelijk
verstoffelijken	verstoffelijk
verstoffelijkt	verstoffelijk
verstoffelijkte	verstoffelijk
verstoffelijkten	verstoffelijk
verstoken	versteek
verstokend	verstook
verstokende	verstook
verstokt	verstok
verstokte	verstok
verstokten	verstok
verstokter	verstokt
verstoktere	verstokt
verstoktheid	verstoktheid
verstoktst	verstokt
verstoktste	verstokt
verstolen	verstolen
verstolener	verstolen
verstolenere	verstolen
verstolenst	verstolen
verstolenste	verstolen
verstomd	verstom
verstomde	verstom
verstomden	verstom
verstommen	verstom
verstommend	verstom
verstommende	verstom
verstomming	verstomming
verstomping	verstomping
verstompt	verstomp
verstompte	verstomp
verstompten	verstomp
verstomt	verstom
verstond	versta
verstonden	versta
verstoof	verstuiv
verstook	verstook
verstookt	verstook
verstookte	verstook
verstookten	verstook
verstoor	verstoor
verstoorbaar	verstoorbaar
verstoorbare	verstoorbaar
verstoord	verstoor
verstoorde	verstoor
verstoorden	verstoor
verstoorder	verstoord
verstoordere	verstoord
verstoordheid	verstoordheid
verstoordst	verstoord
verstoordste	verstoord
verstoort	verstoor
verstoot	verstoot
verstootte	verstoot
verstootten	verstoot
verstoppen	verstop
verstoppend	verstop
verstoppende	verstop
verstoppertje	verstoppertje
verstopping	verstopping
verstoppingen	verstopping
verstoppinkje	verstopping
verstoppinkjes	verstopping
verstopt	verstop
verstopte	verstop
verstopten	verstop
verstoptheid	verstoptheid
verstoren	verstoor
verstorend	verstoor
verstorende	verstoor
verstoring	verstoring
verstoringen	verstoring
verstorven	versterv
verstorvene	verstorvene
verstorvenen	verstorvene
verstoteling	verstoteling
verstotelinge	verstotelinge
verstotelingen	verstotelinge
verstoten	verstoot
verstotend	verstoot
verstotende	verstoot
verstotene	verstotene
verstotenen	verstotene
verstoting	verstoting
verstouwd	verstouw
verstouwde	verstouw
verstouwden	verstouw
verstouwt	verstouw
verstoven	verstuiv
verstraffen	verstraf
verstraffend	verstraf
verstraffende	verstraf
verstraft	verstraf
verstrafte	verstraf
verstraften	verstraf
verstrakt	verstrak
verstrakte	verstrak
verstrakten	verstrak
verstramd	verstram
verstramde	verstram
verstramden	verstram
verstrammen	verstram
verstrammend	verstram
verstrammende	verstram
verstramming	verstramming
verstramt	verstram
verstreek	verstrijk
verstreken	verstrijk
verstrekkender	verstrekkend
verstrekkendere	verstrekkend
verstrekkendst	verstrekkend
verstrekkendste	verstrekkend
verstrekking	verstrekking
verstrekkingen	verstrekking
verstrekt	verstrek
verstrekte	verstrek
verstrekten	verstrek
verstrengeld	verstrengel
verstrengelde	verstrengel
verstrengelden	verstrengel
verstrengeling	verstrengeling
verstrengelt	verstrengel
verstrijkt	verstrijk
verstrikking	verstrikking
verstrikkingen	verstrikking
verstrikt	verstrik
verstrikte	verstrik
verstrikten	verstrik
verstrooide	verstrooi
verstrooiden	verstrooi
verstrooider	verstrooid
verstrooidere	verstrooid
verstrooidheden	verstrooidheid
verstrooidheid	verstrooidheid
verstrooidst	verstrooid
verstrooidste	verstrooid
verstrooiing	verstrooiing
verstrooiingen	verstrooiing
verstrooiingslectuur	verstrooiingslectuur
verstrooiingslens	verstrooiingslenz
verstrooit	verstrooi
verstuif	verstuiv
verstuift	verstuiv
verstuiking	verstuiking
verstuikingen	verstuiking
verstuikt	verstuik
verstuikte	verstuik
verstuikten	verstuik
verstuiving	verstuiving
verstuivingen	verstuiving
versturen	verstuur
versturend	verstuur
versturende	verstuur
verstuur	verstuur
verstuurd	verstuur
verstuurde	verstuur
verstuurden	verstuur
verstuurt	verstuur
verstuwd	verstuw
verstuwde	verstuw
verstuwden	verstuw
verstuwt	verstuw
versuffen	versuf
versuffend	versuf
versuffende	versuf
versuffing	versuffing
versuft	versuf
versufte	versuf
versuften	versuf
versufter	versuft
versuftere	versuft
versuftheid	versuftheid
versuftst	versuft
versuftste	versuft
versuikerd	versuiker
versuikerde	versuiker
versuikerden	versuiker
versuikerder	versuikerd
versuikerdere	versuikerd
versuikerdst	versuikerd
versuikerdste	versuikerd
versuikering	versuikering
versuikert	versuiker
versukkeld	versukkel
versukkelde	versukkel
versukkelden	versukkel
versukkeling	versukkeling
versukkelt	versukkel
vertaal	vertaal
vertaalapparatuur	vertaalapparatuur
vertaalbaar	vertaalbaar
vertaalbare	vertaalbaar
vertaalbureaus	vertaalbureau
vertaald	vertaal
vertaalde	vertaal
vertaalden	vertaal
vertaalkunde	vertaalkunde
vertaalloon	vertaalloon
vertaalmachine	vertaalmachine
vertaalmechanisme	vertaalmechanisme
vertaaloefening	vertaaloefening
vertaaloefeningen	vertaaloefening
vertaalprogramma's	vertaalprogramma
vertaalt	vertaal
vertaalwoede	vertaalwoede
vertakeld	vertakel
vertakelde	vertakel
vertakelden	vertakel
vertakeling	vertakeling
vertakelt	vertakel
vertakking	vertakking
vertakkingen	vertakking
vertakt	vertak
vertakte	vertak
vertakten	vertak
vertalen	vertaal
vertalend	vertaal
vertalende	vertaal
vertaling	vertaling
vertalingen	vertaling
vertappen	vertap
vertappend	vertap
vertappende	vertap
vertapping	vertapping
vertapt	vertap
vertapte	vertap
vertapten	vertap
vertassen	vertas
vertassend	vertas
vertassende	vertas
vertaste	vertas
vertasten	vertas
verte	verte
vertebraal	vertebraal
vertebraat	vertebraat
vertebrale	vertebraal
vertebraten	vertebraat
vertechniseer	vertechniseer
vertechniseerd	vertechniseer
vertechniseerde	vertechniseer
vertechniseerden	vertechniseer
vertechniseert	vertechniseer
vertechniseren	vertechniseer
vertechniserend	vertechniseer
vertechniserende	vertechniseer
vertechnisering	vertechnisering
vertederd	verteder
vertederde	verteder
vertederden	verteder
vertedering	vertedering
vertederingen	vertedering
vertedert	verteder
verteer	verteer
verteerbaar	verteerbaar
verteerbaarder	verteerbaar
verteerbaardere	verteerbaar
verteerbaarheid	verteerbaarheid
verteerbaarst	verteerbaar
verteerbaarste	verteerbaar
verteerbare	verteerbaar
verteerd	verteer
verteerde	verteer
verteerden	verteer
verteert	verteer
vertegenwoordig	vertegenwoordig
vertegenwoordigd	vertegenwoordig
vertegenwoordigde	vertegenwoordig
vertegenwoordigden	vertegenwoordig
vertegenwoordigen	vertegenwoordig
vertegenwoordigend	vertegenwoordig
vertegenwoordigende	vertegenwoordig
vertegenwoordiging	vertegenwoordiging
vertegenwoordigingen	vertegenwoordiging
vertegenwoordigingsbevoegdheid	vertegenwoordigingsbevoegdheid
vertegenwoordigt	vertegenwoordig
verteken	verteken
vertekend	verteken
vertekende	verteken
vertekenden	verteken
vertekent	verteken
verteld	vertel
vertelde	vertel
vertelden	vertel
vertellen	vertel
vertellend	vertel
vertellende	vertel
vertelling	vertelling
vertellingen	vertelling
vertellinkje	vertelling
vertellinkjes	vertelling
vertelseltje	vertelsel
vertelseltjes	vertelsel
vertelt	vertel
verteluurtje	verteluur
verteluurtjes	verteluur
verten	verte
verteren	verteer
verterend	verteer
verterende	verteer
vertering	vertering
verteringen	vertering
verteringsbelasting	verteringsbelasting
verteringsbelastingen	verteringsbelasting
verteringsprocessen	verteringsproces
vertes	verte
verticaal	verticaal
verticaalst	verticaal
verticaalste	verticaal
verticale	verticaal
verticalen	verticaal
verticaler	verticaal
verticalere	verticaal
vertices	vertex
verticuteer	verticuteer
verticuteerde	verticuteer
verticuteerden	verticuteer
verticuteert	verticuteer
verticuteren	verticuteer
verticuterend	verticuteer
verticuterende	verticuteer
vertiendt	vertiend
vertiendubbeld	vertiendubbel
vertiendubbelde	vertiendubbel
vertiendubbelden	vertiendubbel
vertiendubbelt	vertiendubbel
vertienvoudig	vertienvoudig
vertienvoudigd	vertienvoudig
vertienvoudigde	vertienvoudig
vertienvoudigden	vertienvoudig
vertienvoudigen	vertienvoudig
vertienvoudigend	vertienvoudig
vertienvoudigende	vertienvoudig
vertienvoudigt	vertienvoudig
vertikt	vertik
vertikte	vertik
vertikten	vertik
vertild	vertil
vertilde	vertil
vertilden	vertil
vertillen	vertil
vertillend	vertil
vertillende	vertil
vertilt	vertil
vertimmerd	vertimmer
vertimmerde	vertimmer
vertimmerden	vertimmer
vertimmering	vertimmering
vertimmeringen	vertimmering
vertimmert	vertimmer
vertind	vertin
vertinde	vertin
vertinden	vertin
vertinnen	vertin
vertinnend	vertin
vertinnende	vertin
vertint	vertin
vertoef	vertoev
vertoefd	vertoev
vertoefde	vertoev
vertoefden	vertoev
vertoefplaats	vertoefplaats
vertoeft	vertoev
vertogen	vertoog
vertolking	vertolking
vertolkingen	vertolking
vertolkt	vertolk
vertolkte	vertolk
vertolkten	vertolk
vertond	verton
vertonde	verton
vertonden	verton
vertonen	vertoon
vertonend	vertoon
vertonende	vertoon
vertoning	vertoning
vertoningen	vertoning
vertoninkje	vertoning
vertoninkjes	vertoning
vertonnen	verton
vertonnend	verton
vertonnende	verton
vertonning	vertonning
vertonningen	vertonning
vertont	verton
vertoog	vertoog
vertoon	vertoon
vertoonbaar	vertoonbaar
vertoonbare	vertoonbaar
vertoond	vertoon
vertoonde	vertoon
vertoonden	vertoon
vertoont	vertoon
vertoornd	vertoorn
vertoornde	vertoorn
vertoornden	vertoorn
vertoornder	vertoornd
vertoorndere	vertoornd
vertoorndst	vertoornd
vertoorndste	vertoornd
vertoornt	vertoorn
vertraag	vertraag
vertraagde	vertraag
vertraagden	vertraag
vertraagt	vertraag
vertrad	vertreed
vertraden	vertreed
vertragen	vertraag
vertragend	vertraag
vertragende	vertraag
vertraging	vertraging
vertragingen	vertraging
vertragingsacties	vertragingsactie
vertrappeld	vertrappel
vertrappelde	vertrappel
vertrappelden	vertrappel
vertrappeling	vertrappeling
vertrappelinge	vertrappelinge
vertrappelingen	vertrappelinge
vertrappelt	vertrappel
vertrappen	vertrap
vertrappend	vertrap
vertrappende	vertrap
vertrapping	vertrapping
vertrapt	vertrap
vertrapte	vertrap
vertrapten	vertrap
vertreden	vertreed
vertredend	vertreed
vertredende	vertreed
vertreding	vertreding
vertredingen	vertreding
vertreed	vertreed
vertreedt	vertreed
vertrekhallen	vertrekhal
vertrekking	vertrekking
vertrekkingen	vertrekking
vertrekpremies	vertrekpremie
vertrekt	vertrek
vertrekuren	vertrekuur
vertrekuur	vertrekuur
vertreuzeld	vertreuzel
vertreuzelde	vertreuzel
vertreuzelden	vertreuzel
vertreuzelt	vertreuzel
vertroebeld	vertroebel
vertroebelde	vertroebel
vertroebelden	vertroebel
vertroebeling	vertroebeling
vertroebelt	vertroebel
vertroeteld	vertroetel
vertroetelde	vertroetel
vertroetelden	vertroetel
vertroeteling	vertroeteling
vertroetelinge	vertroetelinge
vertroetelingen	vertroeteling
vertroetelt	vertroetel
vertrok	vertrek
vertrokken	vertrek
vertroosting	vertroosting
vertroostingen	vertroosting
vertrossing	vertrossing
vertrouwbaar	vertrouwbaar
vertrouwbaarder	vertrouwbaar
vertrouwbaardere	vertrouwbaar
vertrouwbaarst	vertrouwbaar
vertrouwbaarste	vertrouwbaar
vertrouwbare	vertrouwbaar
vertrouwde	vertrouw
vertrouwden	vertrouwde
vertrouwdheid	vertrouwdheid
vertrouwelijk	vertrouwelijk
vertrouwelijke	vertrouwelijk
vertrouwelijker	vertrouwelijk
vertrouwelijkere	vertrouwelijk
vertrouwelijkheden	vertrouwelijkheid
vertrouwelijkheid	vertrouwelijkheid
vertrouwelijkst	vertrouwelijk
vertrouwelijkste	vertrouwelijk
vertrouweling	vertrouweling
vertrouwelinge	vertrouwelinge
vertrouwelingen	vertrouweling
vertrouwensarts	vertrouwensarts
vertrouwensbases	vertrouwensbasis
vertrouwensbasissen	vertrouwensbasis
vertrouwenscrises	vertrouwenscrisis
vertrouwenscrisissen	vertrouwenscrisis
vertrouwensfiguur	vertrouwensfiguur
vertrouwensfuncties	vertrouwensfunctie
vertrouwenskwesties	vertrouwenskwestie
vertrouwenslieden	vertrouwensman
vertrouwensmannen	vertrouwensman
vertrouwenspersonen	vertrouwenspersoon
vertrouwenspersoon	vertrouwenspersoon
vertrouwensrelaties	vertrouwensrelatie
vertrouwenssfeer	vertrouwenssfeer
vertrouwenwekkend	vertrouwenwekkend
vertrouwenwekkende	vertrouwenwekkend
vertrouwenwekkender	vertrouwenwekkend
vertrouwenwekkendere	vertrouwenwekkend
vertrouwenwekkendst	vertrouwenwekkend
vertrouwenwekkendste	vertrouwenwekkend
vertrouwt	vertrouw
vertrouwvolle	vertrouwvol
vertrutting	vertrutting
vertuid	vertui
vertuide	vertui
vertuiden	vertui
vertuiing	vertuiing
vertuist	vertuis
vertuiste	vertuis
vertuisten	vertuis
vertuit	vertui
vertwijfeld	vertwijfel
vertwijfelden	vertwijfel
vertwijfelder	vertwijfeld
vertwijfeldere	vertwijfeld
vertwijfeldst	vertwijfeld
vertwijfeldste	vertwijfeld
vertwijfeling	vertwijfeling
vertwijfelt	vertwijfel
veruiterlijk	veruiterlijk
veruiterlijken	veruiterlijk
veruiterlijkt	veruiterlijk
veruiterlijkte	veruiterlijk
veruiterlijkten	veruiterlijk
veruitwendig	veruitwendig
veruitwendigd	veruitwendig
veruitwendigde	veruitwendig
veruitwendigden	veruitwendig
veruitwendigen	veruitwendig
veruitwendigend	veruitwendig
veruitwendigende	veruitwendig
veruitwendigt	veruitwendig
vervaag	vervaag
vervaagd	vervaag
vervaagde	vervaag
vervaagden	vervaag
vervaagt	vervaag
vervaal	vervaal
vervaald	vervaal
vervaalde	vervaal
vervaalden	vervaal
vervaalt	vervaal
vervaar	vervaar
vervaard	vervaar
vervaarde	vervaar
vervaarden	vervaar
vervaarder	vervaard
vervaardere	vervaard
vervaardheid	vervaardheid
vervaardig	vervaardig
vervaardigd	vervaardig
vervaardigde	vervaardig
vervaardigden	vervaardig
vervaardigen	vervaardig
vervaardigend	vervaardig
vervaardigende	vervaardig
vervaardiging	vervaardiging
vervaardigt	vervaardig
vervaardst	vervaard
vervaardste	vervaard
vervaarlijk	vervaarlijk
vervaarlijke	vervaarlijk
vervaarlijker	vervaarlijk
vervaarlijkere	vervaarlijk
vervaarlijkst	vervaarlijk
vervaarlijkste	vervaarlijk
vervaart	vervaar
vervagen	vervaag
vervagend	vervaag
vervagende	vervaag
vervaging	vervaging
vervaldata	vervaldatum
vervalen	vervaal
vervalend	vervaal
vervalende	vervaal
vervallen	vervallen
vervallend	verval
vervallende	verval
vervallener	vervallen
vervallenere	vervallen
vervallenheid	vervallenheid
vervallenst	vervallen
vervallenste	vervallen
vervallenverklaring	vervallenverklaring
vervallenverklaringen	vervallenverklaring
vervalletje	verval
vervalletjes	verval
vervalputje	vervalput
vervalputjes	vervalput
vervals	vervals
vervalsing	vervalsing
vervalsingen	vervalsing
vervalst	vervals
vervalste	vervals
vervalsten	vervals
vervalt	verval
vervangbaar	vervangbaar
vervangbare	vervangbaar
vervanging	vervanging
vervangingen	vervanging
vervangingsinvestering	vervangingsinvestering
vervangingsinvesteringen	vervangingsinvestering
vervangingsreserve	vervangingsreserve
vervangingsreserves	vervangingsreserve
vervangingswaarde	vervangingswaarde
vervangt	vervang
vervaren	vervaar
vervarend	vervaar
vervarende	vervaar
verve	verve
verveel	verveel
verveeld	verveel
verveelde	verveel
verveelden	verveel
verveelder	verveeld
verveeldere	verveeld
verveeldst	verveeld
verveeldste	verveeld
verveelt	verveel
verveelvoudig	verveelvoudig
verveelvoudigd	verveelvoudig
verveelvoudigde	verveelvoudig
verveelvoudigden	verveelvoudig
verveelvoudigen	verveelvoudig
verveelvoudigend	verveelvoudig
verveelvoudigende	verveelvoudig
verveelvoudigt	verveelvoudig
verveen	verveen
verveend	verveen
verveende	verveen
verveenden	verveen
verveent	verveen
verveld	vervel
vervelde	vervel
vervelden	vervel
vervelen	verveel
vervelend	verveel
vervelende	verveel
vervelender	vervelend
vervelendere	vervelend
vervelendst	vervelend
vervelendste	vervelend
verveling	verveling
vervellen	vervel
vervellend	vervel
vervellende	vervel
vervelling	vervelling
vervellingen	vervelling
verveloos	vervelooz
verveloosheid	verveloosheid
verveloost	vervelooz
vervelooste	vervelooz
verveloze	vervelooz
vervelozer	vervelooz
vervelozere	vervelooz
vervelt	vervel
vervend	verv
vervende	verv
vervenen	verveen
vervenend	verveen
vervenende	verveen
vervening	vervening
verveningen	vervening
verversing	verversing
verversingen	verversing
verversingshaven	verversingshaven
verversingskanaal	verversingskanaal
verversingskanalen	verversingskanaal
verversingskraam	verversingskraam
verversingskramen	verversingskraam
verversinkje	verversing
verversinkjes	verversing
ververst	ververs
ververste	ververs
verversten	ververs
vervetting	vervetting
verviel	verval
vervielen	verval
verviervoudig	verviervoudig
verviervoudigd	verviervoudig
verviervoudigde	verviervoudig
verviervoudigden	verviervoudig
verviervoudigen	verviervoudig
verviervoudigend	verviervoudig
verviervoudigende	verviervoudig
verviervoudigt	verviervoudig
vervijfvoudig	vervijfvoudig
vervijfvoudigd	vervijfvoudig
vervijfvoudigde	vervijfvoudig
vervijfvoudigden	vervijfvoudig
vervijfvoudigen	vervijfvoudig
vervijfvoudigend	vervijfvoudig
vervijfvoudigende	vervijfvoudig
vervijfvoudigt	vervijfvoudig
verving	vervang
vervingen	vervang
vervlaams	vervlaams
vervlaamsing	vervlaamsing
vervlaamst	vervlaams
vervlaamste	vervlaams
vervlaamsten	vervlaams
vervlakking	vervlakking
vervlakt	vervlak
vervlakte	vervlak
vervlakten	vervlak
vervliedt	vervlied
vervliegt	vervlieg
vervlocht	vervlecht
vervlochten	vervlecht
vervloden	vervlied
vervloeid	vervloei
vervloeide	vervloei
vervloeiden	vervloei
vervloeit	vervloei
vervloeking	vervloeking
vervloekingen	vervloeking
vervloekt	vervloek
vervloekte	vervloek
vervloekten	vervloek
vervloekter	vervloekt
vervloektere	vervloekt
vervloektst	vervloekt
vervloektste	vervloekt
vervlogen	vervlieg
vervlood	vervlied
vervloog	vervlieg
vervloot	vervliet
vervloten	vervliet
vervluchtig	vervluchtig
vervluchtigd	vervluchtig
vervluchtigde	vervluchtig
vervluchtigden	vervluchtig
vervluchtigen	vervluchtig
vervluchtigend	vervluchtig
vervluchtigende	vervluchtig
vervluchtiging	vervluchtiging
vervluchtigt	vervluchtig
vervoederd	vervoeder
vervoederde	vervoeder
vervoederden	vervoeder
vervoedert	vervoeder
vervoegbaar	vervoegbaar
vervoegbaarheid	vervoegbaarheid
vervoegbare	vervoegbaar
vervoegd	vervoeg
vervoegde	vervoeg
vervoegden	vervoeg
vervoeging	vervoeging
vervoegingen	vervoeging
vervoegt	vervoeg
vervoer	vervaar
vervoerbaar	vervoerbaar
vervoerbare	vervoerbaar
vervoerbedrijf	vervoerbedrijv
vervoerbewijs	vervoerbewijz
vervoerd	vervoer
vervoerde	vervoer
vervoerden	vervoer
vervoering	vervoering
vervoeringen	vervoering
vervoerprijs	vervoerprijz
vervoersdeskundige	vervoersdeskundige
vervoersdeskundigen	vervoersdeskundige
vervoersinfrastructuur	vervoersinfrastructuur
vervoersmogelijkheden	vervoersmogelijkheid
vervoersmogelijkheid	vervoersmogelijkheid
vervoersonderneming	vervoersonderneming
vervoersondernemingen	vervoersonderneming
vervoerspersoneel	vervoerspersoneel
vervoersprobleem	vervoersprobleem
vervoersproblemen	vervoersprobleem
vervoerssysteem	vervoerssysteem
vervoerssystemen	vervoerssysteem
vervoerswezen	vervoerswezen
vervoert	vervoer
vervolgaflevering	vervolgaflevering
vervolgafleveringen	vervolgaflevering
vervolgbaar	vervolgbaar
vervolgbare	vervolgbaar
vervolgcursussen	vervolgcursus
vervolgd	vervolg
vervolgde	vervolg
vervolgdeel	vervolgdeel
vervolgdelen	vervolgdeel
vervolgden	vervolg
vervolgens	vervolgens
vervolging	vervolging
vervolgingen	vervolging
vervolgklasse	vervolgklasse
vervolgklassen	vervolgklas
vervolgoefening	vervolgoefening
vervolgoefeningen	vervolgoefening
vervolgonderwijs	vervolgonderwijz
vervolgt	vervolg
vervolgverhaal	vervolgverhaal
vervolgverhalen	vervolgverhaal
vervolgzuchtig	vervolgzuchtig
vervolgzuchtige	vervolgzuchtig
vervolgzuchtiger	vervolgzuchtig
vervolgzuchtigere	vervolgzuchtig
vervolgzuchtigst	vervolgzuchtig
vervolgzuchtigste	vervolgzuchtig
vervolledig	vervolledig
vervolledigd	vervolledig
vervolledigde	vervolledig
vervolledigden	vervolledig
vervolledigen	vervolledig
vervolledigend	vervolledig
vervolledigende	vervolledig
vervolledigt	vervolledig
vervolmaak	vervolmaak
vervolmaakt	vervolmaak
vervolmaakte	vervolmaak
vervolmaakten	vervolmaak
vervolmaken	vervolmaak
vervolmakend	vervolmaak
vervolmakende	vervolmaak
vervolmaking	vervolmaking
vervoogdt	vervoogd
vervorderd	vervorder
vervorderde	vervorder
vervorderden	vervorder
vervordert	vervorder
vervormd	vervorm
vervormde	vervorm
vervormden	vervorm
vervorming	vervorming
vervormingen	vervorming
vervormt	vervorm
vervrachting	vervrachting
vervrachtingen	vervrachting
vervreemdbaar	vervreemdbaar
vervreemdbare	vervreemdbaar
vervreemdheid	vervreemdheid
vervreemding	vervreemding
vervreemdingen	vervreemding
vervreemdt	vervreemd
vervries	vervriez
vervriest	vervriez
vervriezing	vervriezing
vervroegd	vervroeg
vervroegde	vervroeg
vervroegden	vervroeg
vervroeging	vervroeging
vervroegingen	vervroeging
vervroegt	vervroeg
vervrolijking	vervrolijking
vervrolijkt	vervrolijk
vervrolijkte	vervrolijk
vervrolijkten	vervrolijk
vervroor	vervriez
vervroos	vervriez
vervroren	vervriez
vervrouwelijk	vervrouwelijk
vervrouwelijken	vervrouwelijk
vervrouwelijking	vervrouwelijking
vervrouwelijkingen	vervrouwelijking
vervrouwelijkt	vervrouwelijk
vervrouwelijkte	vervrouwelijk
vervrouwelijkten	vervrouwelijk
vervrozen	vervriez
vervuild	vervuil
vervuilde	vervuil
vervuilden	vervuil
vervuilder	vervuild
vervuildere	vervuild
vervuildst	vervuild
vervuildste	vervuild
vervuiling	vervuiling
vervuilt	vervuil
vervulbaar	vervulbaar
vervulbare	vervulbaar
vervuld	vervul
vervulde	vervul
vervulden	vervul
vervullen	vervul
vervullend	vervul
vervullende	vervul
vervulling	vervulling
vervult	vervul
vervuren	vervuur
vervurend	vervuur
vervurende	vervuur
vervuur	vervuur
vervuurd	vervuur
vervuurde	vervuur
vervuurden	vervuur
vervuurt	vervuur
verwaaid	verwaai
verwaaide	verwaai
verwaaiden	verwaai
verwaaider	verwaaid
verwaaidere	verwaaid
verwaaidst	verwaaid
verwaaidste	verwaaid
verwaait	verwaai
verwaander	verwaand
verwaandere	verwaand
verwaandheden	verwaandheid
verwaandheid	verwaandheid
verwaandst	verwaand
verwaandste	verwaand
verwaardig	verwaardig
verwaardigd	verwaardig
verwaardigde	verwaardig
verwaardigden	verwaardig
verwaardigen	verwaardig
verwaardigend	verwaardig
verwaardigende	verwaardig
verwaardigt	verwaardig
verwaarloos	verwaarlooz
verwaarloosbaar	verwaarloosbaar
verwaarloosbare	verwaarloosbaar
verwaarloosd	verwaarlooz
verwaarloosde	verwaarlooz
verwaarloosden	verwaarlooz
verwaarloost	verwaarlooz
verwaarlozen	verwaarlooz
verwaarlozend	verwaarlooz
verwaarlozende	verwaarlooz
verwaarlozing	verwaarlozing
verwachting	verwachting
verwachtingen	verwachting
verwachtingspatronen	verwachtingspatroon
verwachtingspatroon	verwachtingspatroon
verwachtingsvolle	verwachtingsvol
verwachtingvolle	verwachtingvol
verwantschapsbetrekking	verwantschapsbetrekking
verwantschapsbetrekkingen	verwantschapsbetrekking
verwantschapsnaam	verwantschapsnaam
verwantschapsnamen	verwantschapsnaam
verwantschapsrelaties	verwantschapsrelatie
verwantschapssysteem	verwantschapssysteem
verwantschapssystemen	verwantschapssysteem
verwarde	verwar
verwarden	verwar
verwarder	verward
verwardere	verward
verwardheid	verwardheid
verwardst	verward
verwardste	verward
verwarmd	verwarm
verwarmde	verwarm
verwarmden	verwarm
verwarming	verwarming
verwarmingen	verwarming
verwarmingsapparaat	verwarmingsapparaat
verwarmingsbuis	verwarmingsbuiz
verwarmingsinstallaties	verwarmingsinstallatie
verwarmingssysteem	verwarmingssysteem
verwarmingstoestellen	verwarmingstoestel
verwarmingsvermogen	verwarmingsvermogen
